Date,Close (GP),Average (GP),Volume (Sold)
2020-07-16,2935,2883,2620095
2020-07-17,2964,2887,2250252
2020-07-18,2970,2889,1864243
2020-07-19,2993,2893,396177
2020-07-20,3004,2897,2238395
2020-07-21,2995,2902,2000990
2020-07-22,2986,2906,85624
2020-07-23,2974,2909,2684566
2020-07-24,2956,2912,2612277
2020-07-25,2902,2913,3409883
2020-07-26,2896,2914,689490
2020-07-27,2876,2914,2385468
2020-07-28,2786,2912,3211106
2020-07-29,2786,2910,2304520
2020-07-30,2795,2910,3563808
2020-07-31,2806,2909,1210373
2020-08-01,2810,2907,3591397
2020-08-02,2837,2905,941463
2020-08-03,2874,2904,2568273
2020-08-04,2901,2904,2179187
2020-08-05,2897,2904,928556
2020-08-06,2876,2901,1452303
2020-08-07,2858,2900,2765818
2020-08-08,2851,2898,2557935
2020-08-09,2855,2895,1052701
2020-08-10,2886,2895,3033254
2020-08-11,2939,2896,905253
2020-08-12,2938,2898,2742742
2020-08-13,3006,2901,1532211
2020-08-14,3015,2905,2779062
2020-08-15,3073,2910,924602
2020-08-16,3053,2913,2487091
2020-08-17,3071,2916,269953
2020-08-18,3032,2917,1791447
2020-08-19,3020,2918,1648961
2020-08-20,2988,2918,2737276
2020-08-21,2935,2916,2618308
2020-08-22,2895,2913,1890714
2020-08-23,2902,2911,2218000
2020-08-24,2898,2911,2136209
2020-08-25,2904,2912,2078393
2020-08-26,2909,2913,2209111
2020-08-27,2928,2917,2798870
2020-08-28,2932,2922,1337405
2020-08-29,2914,2926,3045921
2020-08-30,2928,2930,1345567
2020-08-31,2919,2934,1954026
2020-09-01,2926,2937,1546812
2020-09-02,2908,2938,1811195
2020-09-03,2914,2939,2976521
2020-09-04,2957,2941,2705115
2020-09-05,2975,2944,1694257
2020-09-06,2968,2947,1593161
2020-09-07,2959,2951,2602267
2020-09-08,2952,2954,1717382
2020-09-09,2953,2957,1560493
2020-09-10,2966,2957,2272378
2020-09-11,2960,2958,2727571
2020-09-12,2956,2957,2163203
2020-09-13,2962,2955,2074447
2020-09-14,3055,2954,1836305
2020-09-15,3093,2955,650878
2020-09-16,3092,2956,1329232
2020-09-17,3038,2956,2682156
2020-09-18,3015,2956,1609284
2020-09-19,2997,2957,2355159
2020-09-20,2975,2958,386066
2020-09-21,2953,2960,469726
2020-09-22,2952,2961,1199300
2020-09-23,2936,2963,2524455
2020-09-24,2950,2964,2230028
2020-09-25,2976,2966,1018861
2020-09-26,2995,2969,2898945
2020-09-27,3048,2973,335173
2020-09-28,3042,2977,1512764
2020-09-29,3005,2979,2009131
2020-09-30,3028,2983,1277372
2020-10-01,3025,2986,1732276
2020-10-02,3021,2990,1894476
2020-10-03,3010,2993,2372104
2020-10-04,3030,2996,226726
2020-10-05,3070,2999,1344968
2020-10-06,3071,3002,39645
2020-10-07,3107,3007,2819508
2020-10-08,3141,3014,1734333
2020-10-09,3232,3023,1508503
2020-10-10,3336,3035,2842744
2020-10-11,3264,3045,1164190
2020-10-12,3254,3055,2716168
2020-10-13,3184,3063,901748
2020-10-14,3075,3063,1360045
2020-10-15,2972,3059,1603374
2020-10-16,2957,3055,2903125
2020-10-17,2933,3051,2351932
2020-10-18,2934,3049,1233753
2020-10-19,2943,3047,2108726
2020-10-20,2951,3046,2096611
2020-10-21,2933,3045,2588792
2020-10-22,2978,3046,1789119
2020-10-23,3066,3051,1713032
2020-10-24,3054,3054,1879177
