Date,Close (GP),Average (GP),Volume (Sold)
2020-06-23,2552,2710,6928118
2020-06-24,2536,2702,15000
2020-06-25,2536,2693,8267117
2020-06-26,2559,2684,8727490
2020-06-27,2555,2676,7044323
2020-06-28,2529,2666,7690985
2020-06-29,2520,2655,6194019
2020-06-30,2525,2646,10634303
2020-07-01,2539,2638,4960437
2020-07-02,2540,2630,7902533
2020-07-03,2553,2622,9725491
2020-07-04,2556,2614,9490573
2020-07-05,2547,2606,5159822
2020-07-06,2535,2598,9957514
2020-07-07,2540,2591,5621440
2020-07-08,2544,2586,293530
2020-07-09,2538,2580,6186280
2020-07-10,2539,2575,9754447
2020-07-11,2514,2568,8852256
2020-07-12,2489,2562,5068580
2020-07-13,2471,2556,7983321
2020-07-14,2458,2551,7641311
2020-07-15,2459,2549,2353858
2020-07-16,2459,2547,7452832
2020-07-17,2472,2543,6686679
2020-07-18,2467,2535,5928174
2020-07-19,2479,2528,1213136
2020-07-20,2453,2521,7568899
2020-07-21,2426,2515,5898133
2020-07-22,2430,2510,188713
2020-07-23,2415,2506,7592220
2020-07-24,2400,2501,6971077
2020-07-25,2405,2497,10638383
2020-07-26,2381,2491,1783084
2020-07-27,2381,2485,7292697
2020-07-28,2380,2480,9020003
2020-07-29,2385,2476,7399416
2020-07-30,2381,2471,9784853
2020-07-31,2373,2465,3832491
2020-08-01,2370,2460,9498115
2020-08-02,2364,2453,2980709
2020-08-03,2365,2447,7512464
2020-08-04,2360,2441,5849512
2020-08-05,2367,2435,1888164
2020-08-06,2368,2429,4954440
2020-08-07,2365,2423,9512025
2020-08-08,2344,2417,9487335
2020-08-09,2321,2410,4821873
2020-08-10,2307,2403,11062116
2020-08-11,2315,2397,3416282
2020-08-12,2295,2391,9702158
2020-08-13,2278,2385,5944066
2020-08-14,2266,2379,10814467
2020-08-15,2268,2372,3882382
2020-08-16,2279,2366,9159384
2020-08-17,2287,2360,804932
2020-08-18,2309,2354,6146562
2020-08-19,2306,2349,6086657
2020-08-20,2323,2346,9648304
2020-08-21,2310,2342,9295024
2020-08-22,2294,2338,7289929
2020-08-23,2258,2333,8204921
2020-08-24,2261,2328,7631825
2020-08-25,2244,2324,7706915
2020-08-26,2236,2319,7826356
2020-08-27,2229,2314,9724039
2020-08-28,2220,2308,4966102
2020-08-29,2204,2302,12539968
2020-08-30,2182,2296,4927909
2020-08-31,2179,2290,7260050
2020-09-01,2175,2283,6062109
2020-09-02,2181,2277,5734901
2020-09-03,2196,2272,10063906
2020-09-04,2187,2266,7924965
2020-09-05,2179,2259,6596201
2020-09-06,2171,2253,6236831
2020-09-07,2171,2247,9120954
2020-09-08,2196,2243,5552304
2020-09-09,2260,2241,5648536
2020-09-10,2279,2240,7503234
2020-09-11,2286,2240,8139938
2020-09-12,2313,2241,7330598
2020-09-13,2307,2243,6803368
2020-09-14,2319,2244,6162301
2020-09-15,2320,2246,1664636
2020-09-16,2327,2247,3934474
2020-09-17,2334,2248,8833285
2020-09-18,2349,2249,4931002
2020-09-19,2353,2250,9014904
2020-09-20,2335,2251,1239458
2020-09-21,2261,2250,2129058
2020-09-22,2225,2249,5187275
2020-09-23,2214,2247,8995294
2020-09-24,2210,2246,9289434
2020-09-25,2188,2245,4161857
2020-09-26,2157,2242,12029567
2020-09-27,2136,2239,1031701
2020-09-28,2153,2238,5021958
2020-09-29,2164,2237,7022881
2020-09-30,2165,2237,5343049
2020-10-01,2156,2236,6862999
2020-10-02,2142,2235,7259169
2020-10-03,2138,2233,9380182
2020-10-04,2148,2231,775997
2020-10-05,2154,2231,5511968
2020-10-06,2142,2230,234313
2020-10-07,2146,2229,9246691
2020-10-08,2155,2227,6364934
2020-10-09,2155,2224,5839334
2020-10-10,2150,2220,11998339
2020-10-11,2126,2214,5304827
2020-10-12,2110,2207,10888743
2020-10-13,2088,2200,3550787
2020-10-14,2051,2191,6234387
2020-10-15,2042,2182,6142838
2020-10-16,2056,2173,10866707
2020-10-17,2053,2164,10173580
2020-10-18,2054,2154,6052055
2020-10-19,2074,2144,9260466
2020-10-20,2104,2137,8075744
2020-10-21,2084,2131,9695450
2020-10-22,2061,2125,8682685
2020-10-23,2058,2120,7773208
2020-10-24,2043,2115,9695589
