Date,Close (GP),Average (GP),Volume (Sold)
2020-06-20,1086,1086,5368636
2020-06-21,1060,1086,378763
2020-06-22,1050,1085,8969594
2020-06-23,1050,1085,6484273
2020-06-24,1047,1084,12000
2020-06-25,1053,1083,7859285
2020-06-26,1057,1083,8536996
2020-06-27,1049,1082,6365933
2020-06-28,1044,1081,6873800
2020-06-29,1035,1080,6017111
2020-06-30,1034,1078,11945549
2020-07-01,1016,1077,5512652
2020-07-02,1004,1074,7587669
2020-07-03,1000,1071,8454667
2020-07-04,1002,1068,8252688
2020-07-05,1006,1065,4010135
2020-07-06,1007,1063,9653090
2020-07-07,1012,1060,5922741
2020-07-08,1007,1058,545334
2020-07-09,1004,1055,6497790
2020-07-10,1003,1051,9727828
2020-07-11,991,1047,8713170
2020-07-12,979,1043,4388675
2020-07-13,976,1039,7511448
2020-07-14,977,1036,7701756
2020-07-15,980,1032,2053522
2020-07-16,987,1028,6595189
2020-07-17,986,1024,5844379
2020-07-18,981,1019,5480697
2020-07-19,974,1015,1190880
2020-07-20,977,1011,6751589
2020-07-21,987,1009,5803249
2020-07-22,996,1007,176785
2020-07-23,1007,1005,6790966
2020-07-24,1012,1004,6296507
2020-07-25,1016,1003,9215480
2020-07-26,1007,1001,1838440
2020-07-27,1001,1000,7376165
2020-07-28,983,998,8455440
2020-07-29,989,996,6503683
2020-07-30,990,995,8670412
2020-07-31,987,994,3421024
2020-08-01,982,993,8918646
2020-08-02,974,992,2733416
2020-08-03,965,991,7233999
2020-08-04,960,989,5483318
2020-08-05,968,988,2198899
2020-08-06,970,987,4598217
2020-08-07,974,986,8225036
2020-08-08,975,985,7703715
2020-08-09,976,984,3754162
2020-08-10,975,983,9737068
2020-08-11,978,983,3123666
2020-08-12,979,983,9040082
2020-08-13,984,984,5459551
2020-08-14,987,984,9651141
2020-08-15,984,984,3473104
2020-08-16,977,983,8634501
2020-08-17,976,983,740815
2020-08-18,977,983,5730445
2020-08-19,980,983,5625944
2020-08-20,982,983,8487475
2020-08-21,983,983,7944145
2020-08-22,983,982,5932431
2020-08-23,980,981,8082125
2020-08-24,972,979,7949629
2020-08-25,957,978,7615144
2020-08-26,966,977,7005037
2020-08-27,966,976,9150749
2020-08-28,962,975,4349224
2020-08-29,944,974,11683170
2020-08-30,930,972,4737686
2020-08-31,937,970,6781631
2020-09-01,949,969,5805848
2020-09-02,951,969,5482075
2020-09-03,954,969,8937342
2020-09-04,959,968,7289764
2020-09-05,956,968,6071326
2020-09-06,958,967,6524334
2020-09-07,974,967,8688197
2020-09-08,978,967,5689483
2020-09-09,979,968,5518285
2020-09-10,977,968,6952383
2020-09-11,979,968,8584350
2020-09-12,984,968,6781608
2020-09-13,981,967,6167490
2020-09-14,977,967,6272054
2020-09-15,981,967,1565468
2020-09-16,979,967,4124607
2020-09-17,978,967,7766742
2020-09-18,978,967,5648084
2020-09-19,977,967,8491712
2020-09-20,973,967,1139367
2020-09-21,973,966,1888079
2020-09-22,986,967,4273679
2020-09-23,993,967,8977565
2020-09-24,1001,969,7715101
2020-09-25,1003,970,3500313
2020-09-26,1005,971,11135230
2020-09-27,1000,973,1106544
2020-09-28,1014,975,5232671
2020-09-29,1005,977,7074099
2020-09-30,1001,980,5096230
2020-10-01,996,981,6802871
2020-10-02,991,983,6627170
2020-10-03,984,984,9277328
2020-10-04,974,984,830327
2020-10-05,973,985,5178295
2020-10-06,972,985,46793
2020-10-07,972,985,9455663
2020-10-08,978,985,5903610
2020-10-09,981,985,5670405
2020-10-10,985,985,10397174
2020-10-11,984,985,4487889
2020-10-12,984,985,10090644
2020-10-13,985,986,3056029
2020-10-14,987,986,5022605
2020-10-15,985,986,5414754
2020-10-16,985,986,10273804
2020-10-17,983,986,8995995
2020-10-18,987,987,4824474
2020-10-19,991,987,7815703
2020-10-20,999,988,7209820
2020-10-21,995,989,8593748
2020-10-22,989,989,6838421
2020-10-23,993,989,6788265
2020-10-24,993,989,8353215
