Date,Close (GP),Average (GP),Volume (Sold)
2020-06-22,528,550,10388824
2020-06-23,549,550,8914296
2020-06-24,556,552,0
2020-06-25,563,553,10708135
2020-06-26,560,554,13858004
2020-06-27,534,553,11789774
2020-06-28,507,551,12219656
2020-06-29,489,549,6575102
2020-06-30,503,548,13932337
2020-07-01,526,547,6684808
2020-07-02,519,546,9602781
2020-07-03,515,544,14188958
2020-07-04,502,542,12269503
2020-07-05,503,540,5914894
2020-07-06,512,539,13542015
2020-07-07,514,538,7993657
2020-07-08,520,536,416916
2020-07-09,529,536,7902213
2020-07-10,536,535,12153621
2020-07-11,520,533,9643312
2020-07-12,518,532,4640717
2020-07-13,523,531,8894243
2020-07-14,527,530,9585122
2020-07-15,533,529,2536130
2020-07-16,543,529,10238736
2020-07-17,534,527,9342420
2020-07-18,522,526,8905934
2020-07-19,510,525,1365447
2020-07-20,501,524,10208332
2020-07-21,504,523,8699467
2020-07-22,498,522,258216
2020-07-23,482,520,9031398
2020-07-24,491,517,9678831
2020-07-25,498,515,12861071
2020-07-26,494,513,2403349
2020-07-27,489,512,9921763
2020-07-28,492,511,12471727
2020-07-29,498,511,8443089
2020-07-30,512,512,11555554
2020-07-31,527,512,4401292
2020-08-01,527,512,13220131
2020-08-02,515,512,3127731
2020-08-03,512,512,9411296
2020-08-04,518,513,8303488
2020-08-05,524,513,2918649
2020-08-06,524,514,7079240
2020-08-07,520,514,10723264
2020-08-08,526,513,9780135
2020-08-09,537,513,4203528
2020-08-10,531,514,12634837
2020-08-11,531,514,4228714
2020-08-12,536,515,9924939
2020-08-13,550,515,6474840
2020-08-14,552,516,12627197
2020-08-15,528,516,5365260
2020-08-16,513,515,12266612
2020-08-17,492,514,1043305
2020-08-18,494,513,7224543
2020-08-19,496,513,8471313
2020-08-20,493,513,11897162
2020-08-21,491,513,11136472
2020-08-22,494,513,8099378
2020-08-23,480,513,7719611
2020-08-24,483,512,5818624
2020-08-25,507,513,7427940
2020-08-26,529,514,8699807
2020-08-27,537,515,11093471
2020-08-28,531,517,5466003
2020-08-29,528,517,13812391
2020-08-30,502,516,5987225
2020-08-31,498,515,8900289
2020-09-01,492,514,6851789
2020-09-02,489,514,7394110
2020-09-03,481,512,11598488
2020-09-04,484,511,10035196
2020-09-05,482,510,7961450
2020-09-06,470,508,7107150
2020-09-07,476,506,12084294
2020-09-08,473,504,8127548
2020-09-09,473,502,6893154
2020-09-10,474,500,8190569
2020-09-11,484,499,9920543
2020-09-12,486,497,9620599
2020-09-13,478,494,6273223
2020-09-14,488,493,5801775
2020-09-15,510,493,1805646
2020-09-16,513,493,5339912
2020-09-17,513,494,13815531
2020-09-18,505,494,6565588
2020-09-19,499,495,11271880
2020-09-20,506,495,1742127
2020-09-21,502,495,2158319
2020-09-22,491,496,6941850
2020-09-23,486,496,10127765
2020-09-24,488,495,10795969
2020-09-25,497,494,5997896
2020-09-26,486,492,15338314
2020-09-27,482,491,1727901
2020-09-28,478,489,6269533
2020-09-29,481,488,8221470
2020-09-30,494,488,7137773
2020-10-01,505,489,8311122
2020-10-02,506,489,8264338
2020-10-03,513,490,10414068
2020-10-04,526,492,1105204
2020-10-05,520,493,8329785
2020-10-06,494,494,147962
2020-10-07,481,494,15939298
2020-10-08,480,494,10616292
2020-10-09,474,494,9786020
2020-10-10,470,494,16773901
2020-10-11,470,494,8302827
2020-10-12,468,493,15392229
2020-10-13,464,493,4536999
2020-10-14,465,492,9525649
2020-10-15,461,490,7653209
2020-10-16,462,488,15910405
2020-10-17,466,487,12956352
2020-10-18,468,486,8148859
2020-10-19,473,485,10457994
2020-10-20,481,484,10730340
2020-10-21,497,484,10479781
2020-10-22,503,484,8105305
2020-10-23,513,485,7881075
2020-10-24,514,486,9964665
