Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
160,2020/09/15,2020/09/15,510,2020/09/15,493,2020/09/15,1805646.0
161,2020/09/16,2020/09/16,513,2020/09/16,493,2020/09/16,5339912.0
162,2020/09/17,2020/09/17,513,2020/09/17,494,2020/09/17,13815531.0
163,2020/09/18,2020/09/18,505,2020/09/18,494,2020/09/18,6565588.0
164,2020/09/19,2020/09/19,499,2020/09/19,495,2020/09/19,11271880.0
165,2020/09/20,2020/09/20,506,2020/09/20,495,2020/09/20,1742127.0
166,2020/09/21,2020/09/21,502,2020/09/21,495,2020/09/21,2158319.0
167,2020/09/22,2020/09/22,491,2020/09/22,496,2020/09/22,6941850.0
168,2020/09/23,2020/09/23,486,2020/09/23,496,2020/09/23,10127765.0
169,2020/09/24,2020/09/24,488,2020/09/24,495,2020/09/24,10795969.0
170,2020/09/25,2020/09/25,497,2020/09/25,494,2020/09/25,5997896.0
171,2020/09/26,2020/09/26,486,2020/09/26,492,2020/09/26,15338314.0
172,2020/09/27,2020/09/27,482,2020/09/27,491,2020/09/27,1727901.0
173,2020/09/28,2020/09/28,478,2020/09/28,489,2020/09/28,6269533.0
174,2020/09/29,2020/09/29,481,2020/09/29,488,2020/09/29,8221470.0
175,2020/09/30,2020/09/30,494,2020/09/30,488,2020/09/30,7137773.0
176,2020/10/01,2020/10/01,505,2020/10/01,489,2020/10/01,8311122.0
177,2020/10/02,2020/10/02,506,2020/10/02,489,2020/10/02,8264338.0
178,2020/10/03,2020/10/03,513,2020/10/03,490,2020/10/03,10414068.0
179,2020/10/04,2020/10/04,526,2020/10/04,492,2020/10/04,1105204.0
180,2020/10/05,2020/10/05,520,2020/10/05,493,2020/10/05,8329785.0
181,2020/10/06,2020/10/06,494,2020/10/06,494,2020/10/06,147962.0
182,2020/10/07,2020/10/07,481,2020/10/07,494,2020/10/07,15939298.0
183,2020/10/08,2020/10/08,480,2020/10/08,494,2020/10/08,10616292.0
184,2020/10/09,2020/10/09,474,2020/10/09,494,2020/10/09,9786020.0
185,2020/10/10,2020/10/10,470,2020/10/10,494,2020/10/10,16773901.0
186,2020/10/11,2020/10/11,470,2020/10/11,494,2020/10/11,8302827.0
187,2020/10/12,2020/10/12,468,2020/10/12,493,2020/10/12,15392229.0
188,2020/10/13,2020/10/13,464,2020/10/13,493,2020/10/13,4536999.0
189,2020/10/14,2020/10/14,465,2020/10/14,492,2020/10/14,9525649.0
190,2020/10/15,2020/10/15,461,2020/10/15,490,2020/10/15,7653209.0
191,2020/10/16,2020/10/16,462,2020/10/16,488,2020/10/16,15910405.0
192,2020/10/17,2020/10/17,466,2020/10/17,487,2020/10/17,12956352.0
193,2020/10/18,2020/10/18,468,2020/10/18,486,2020/10/18,8148859.0
194,2020/10/19,2020/10/19,473,2020/10/19,485,2020/10/19,10457994.0
195,2020/10/20,2020/10/20,481,2020/10/20,484,2020/10/20,10730340.0
196,2020/10/21,2020/10/21,497,2020/10/21,484,2020/10/21,10479781.0
197,2020/10/22,2020/10/22,503,2020/10/22,484,2020/10/22,8105305.0
198,2020/10/23,2020/10/23,513,2020/10/23,485,2020/10/23,7881075.0
199,2020/10/24,2020/10/24,514,2020/10/24,486,2020/10/24,9964665.0
