Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
25,2020/05/03,2020/05/03,3132,2020/05/03,3160,2020/05/03,438140.0
26,2020/05/04,2020/05/04,3093,2020/05/04,3159,2020/05/04,2030445.0
27,2020/05/05,2020/05/05,3058,2020/05/05,3155,2020/05/05,2885123.0
28,2020/05/06,2020/05/06,3063,2020/05/06,3151,2020/05/06,3970917.0
29,2020/05/07,2020/05/07,3071,2020/05/07,3148,2020/05/07,2533023.0
30,2020/05/08,2020/05/08,3080,2020/05/08,3144,2020/05/08,1764078.0
31,2020/05/09,2020/05/09,3079,2020/05/09,3139,2020/05/09,3906061.0
32,2020/05/10,2020/05/10,3058,2020/05/10,3131,2020/05/10,1017159.0
33,2020/05/11,2020/05/11,3020,2020/05/11,3122,2020/05/11,1946583.0
34,2020/05/12,2020/05/12,3014,2020/05/12,3113,2020/05/12,2038124.0
35,2020/05/13,2020/05/13,3015,2020/05/13,3103,2020/05/13,312960.0
36,2020/05/14,2020/05/14,3024,2020/05/14,3093,2020/05/14,1774590.0
37,2020/05/15,2020/05/15,3044,2020/05/15,3085,2020/05/15,2798967.0
38,2020/05/16,2020/05/16,3049,2020/05/16,3079,2020/05/16,3064087.0
39,2020/05/17,2020/05/17,3066,2020/05/17,3075,2020/05/17,2825666.0
40,2020/05/18,2020/05/18,3016,2020/05/18,3072,2020/05/18,1913071.0
41,2020/05/19,2020/05/19,3009,2020/05/19,3072,2020/05/19,3048541.0
42,2020/05/20,2020/05/20,3022,2020/05/20,3071,2020/05/20,2290313.0
43,2020/05/21,2020/05/21,3027,2020/05/21,3069,2020/05/21,2149462.0
44,2020/05/22,2020/05/22,3037,2020/05/22,3066,2020/05/22,2658096.0
45,2020/05/23,2020/05/23,3053,2020/05/23,3062,2020/05/23,4498840.0
46,2020/05/24,2020/05/24,3055,2020/05/24,3060,2020/05/24,2019362.0
47,2020/05/25,2020/05/25,3015,2020/05/25,3058,2020/05/25,1361271.0
48,2020/05/26,2020/05/26,2994,2020/05/26,3056,2020/05/26,2175614.0
49,2020/05/27,2020/05/27,3003,2020/05/27,3053,2020/05/27,1848823.0
50,2020/05/28,2020/05/28,3002,2020/05/28,3050,2020/05/28,2238141.0
51,2020/05/29,2020/05/29,2998,2020/05/29,3047,2020/05/29,3653404.0
52,2020/05/30,2020/05/30,2990,2020/05/30,3044,2020/05/30,2333213.0
53,2020/05/31,2020/05/31,2986,2020/05/31,3040,2020/05/31,2519941.0
54,2020/06/01,2020/06/01,2995,2020/06/01,3035,2020/06/01,2228450.0
55,2020/06/02,2020/06/02,2995,2020/06/02,3031,2020/06/02,3881539.0
56,2020/06/03,2020/06/03,3023,2020/06/03,3028,2020/06/03,1308960.0
57,2020/06/04,2020/06/04,3013,2020/06/04,3027,2020/06/04,1893709.0
58,2020/06/05,2020/06/05,2989,2020/06/05,3024,2020/06/05,4441814.0
59,2020/06/06,2020/06/06,2951,2020/06/06,3020,2020/06/06,3208638.0
60,2020/06/07,2020/06/07,2946,2020/06/07,3016,2020/06/07,2142977.0
61,2020/06/08,2020/06/08,2929,2020/06/08,3011,2020/06/08,2287258.0
62,2020/06/09,2020/06/09,2922,2020/06/09,3006,2020/06/09,2590148.0
63,2020/06/10,2020/06/10,2909,2020/06/10,3003,2020/06/10,3945445.0
64,2020/06/11,2020/06/11,2902,2020/06/11,2999,2020/06/11,960001.0
65,2020/06/12,2020/06/12,2894,2020/06/12,2995,2020/06/12,1738952.0
66,2020/06/13,2020/06/13,2878,2020/06/13,2990,2020/06/13,2464168.0
67,2020/06/14,2020/06/14,2838,2020/06/14,2983,2020/06/14,906340.0
68,2020/06/15,2020/06/15,2820,2020/06/15,2975,2020/06/15,2428318.0
69,2020/06/16,2020/06/16,2830,2020/06/16,2968,2020/06/16,2317131.0
70,2020/06/17,2020/06/17,2859,2020/06/17,2962,2020/06/17,1071146.0
71,2020/06/18,2020/06/18,2893,2020/06/18,2958,2020/06/18,1642691.0
